geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Duab"|"Dūāb"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.56277"|"67.82191"
"Dwah Manday"|"Dwah Manḏay"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.28159"|"69.58531"
"Eslam Qaleh"|"Eslam Qaleh"|"AF"|"Afghanistan"|18086|"Asia/Kabul"|"34.66667"|"61.06667"
"Faizabad"|"Faīẕābād"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.82091"|"66.45921"
"Farah"|"Farah"|"AF"|"Afghanistan"|43561|"Asia/Kabul"|"32.37451"|"62.11638"
"Farkhar"|"Farkhār"|"AF"|"Afghanistan"|10480|"Asia/Kabul"|"36.57288"|"69.85783"
"Fayroz Koh"|"Fayrōz Kōh"|"AF"|"Afghanistan"|15000|"Asia/Kabul"|"34.51952"|"65.25093"
"Fayzabad"|"Fayzabad"|"AF"|"Afghanistan"|44421|"Asia/Kabul"|"37.11664"|"70.58002"
"Fayzabad"|"Fayẕābād"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.29111"|"64.86222"
"Gardez"|"Gardez"|"AF"|"Afghanistan"|103601|"Asia/Kabul"|"33.59744"|"69.22592"
"Gereshk"|"Gereshk"|"AF"|"Afghanistan"|43588|"Asia/Kabul"|"31.82089"|"64.57005"
"Ghazni"|"Ghazni"|"AF"|"Afghanistan"|141000|"Asia/Kabul"|"33.55391"|"68.42096"
"Ghoriyan"|"Ghōriyān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.3448"|"61.49321"
"Ghormach"|"Ghormach"|"AF"|"Afghanistan"|30000|"Asia/Kabul"|"35.73062"|"63.78264"
"Ghulam 'Ali"|"Ghulām ‘Alī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.95076"|"69.2287"
"Ghurayd Gharame"|"Ghurayd Gharamē"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.5222"|"70.79063"
"Gomal Kelay"|"Gōmal Kêlay"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.50989"|"68.85598"
"Goshtah"|"Gōshtah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.35822"|"70.76264"
"Guzarah"|"Guz̄arah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.21223"|"62.21235"
"Hafiz Moghul"|"Ḩāfiz̧ Moghul"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.05643"|"70.40061"
"Hafizan"|"Ḩāfiz̧ān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.28665"|"70.37247"
"Haji Khel"|"Ḩājī Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.10922"|"69.43341"
"Herat"|"Herāt"|"AF"|"Afghanistan"|574300|"Asia/Kabul"|"34.34817"|"62.19967"
"Hukumat-e Nad 'Ali"|"Ḩukūmat-e Nād ‘Alī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.64286"|"64.23982"
"Hukumat-e Shinkai"|"Ḩukūmat-e Shīnkaī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.98303"|"67.33558"
"Hukumati Azrah"|"Ḩukūmatī Azrah"|"AF"|"Afghanistan"|12526|"Asia/Kabul"|"34.17355"|"69.64573"
